,GAZP.ME,LKOH.ME,ROSN.ME
2022-05-25,0.0005954303440990204,0.0006768708826747489,0.00034503005403702997
2022-05-26,0.0005969703109469793,0.0006289255528930928,0.00039151190678372665
2022-05-27,0.0005886190307003985,0.000624323382084282,0.0003885937507811728
2022-05-30,0.0005884531970591757,0.000624922637889531,0.0003882847006601919
2022-05-31,0.0005885024396125271,0.0006249611541303187,0.0003883155697338211
2022-06-01,0.0005885013355625932,0.0006249564112365324,0.00038831777415081317
2022-06-02,0.0005885008191429989,0.0006249562304814339,0.00038831749785982574
2022-06-03,0.000588500826405625,0.0006249562769174867,0.0003883174850553261
2022-06-06,0.0005885008297634713,0.000624956278023759,0.00038831748759667804
2022-06-07,0.0005885008295918109,0.0006249562776525244,0.0003883174876670319
2022-06-08,0.0005885008295624316,0.0006249562776514257,0.00038831748764547614
2022-06-09,0.0005885008295639571,0.0006249562776546527,0.0003883174876452717
2022-06-10,0.0005885008295641473,0.0006249562776546232,0.0003883174876454544
2022-06-13,0.0005885008295641298,0.0006249562776545982,0.00038831748764545337
2022-06-14,0.0005885008295641283,0.0006249562776545988,0.0003883174876454519
2022-06-15,0.0005885008295641285,0.000624956277654599,0.0003883174876454519
2022-06-16,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-06-17,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-06-20,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-06-21,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-06-22,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-06-23,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-06-24,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-06-27,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-06-28,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-06-29,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-06-30,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-01,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-04,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-05,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-06,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-07,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-08,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-11,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-12,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-13,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-14,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-15,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-18,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-19,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-20,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-21,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-22,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-25,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-26,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-27,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-28,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-07-29,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-08-01,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-08-02,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-08-03,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-08-04,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-08-05,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-08-08,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
2022-08-09,0.0005885008295641285,0.000624956277654599,0.00038831748764545196
