,NLMK.ME,GMKN.ME,CHMF.ME
2022-05-25,0.0010573341085667516,0.000551959591707339,0.0008903847357203608
2022-05-26,0.0009643052229545836,0.0005099887938328744,0.0007689133386925807
2022-05-27,0.0009873104090937052,0.0005154879550583696,0.0008660851345169503
2022-05-30,0.0009856659198925984,0.0005120646320874027,0.000851581589907542
2022-05-31,0.0009912700045107252,0.0005136503984024155,0.0008550611261400831
2022-06-01,0.0009898394413025535,0.000513377680658211,0.0008543897429159752
2022-06-02,0.0009900347762236438,0.0005134721980583303,0.0008549546564642302
2022-06-03,0.0009900431223867439,0.0005134424403607066,0.0008547922395183417
2022-06-06,0.0009900648636031956,0.0005134507710218446,0.0008548210332612401
2022-06-07,0.000990052691336201,0.0005134489227250575,0.0008548182215386061
