,SBER.ME,VTBR.ME,TCSG.ME
2022-05-25,-0.002558997018172257,-0.002323918074607208,-0.0019808438517839593
2022-05-26,-0.002125133866501914,-0.0024150241244093426,-0.0012871034910530367
2022-05-27,-0.0022282797916572546,-0.0025891436420016753,-0.0014386971975111447
2022-05-30,-0.0022172843659317193,-0.0026179700314947507,-0.0014104911344397573
2022-05-31,-0.002221494888431286,-0.002632099250045282,-0.0014153820949842672
2022-06-01,-0.0022215092753230716,-0.0026358134795481884,-0.0014145105338805462
2022-06-02,-0.0022217455435106026,-0.002637155927601309,-0.0014146533762972153
2022-06-03,-0.002221781806877264,-0.002637563669588596,-0.001414626333461341
2022-06-06,-0.002221800366776454,-0.002637699415824854,-0.0014146302056204643
2022-06-07,-0.0022218051670129108,-0.0026377424334856747,-0.0014146292861622336
2022-06-08,-0.002221806918020266,-0.002637756428286662,-0.0014146293629464233
2022-06-09,-0.002221807447424749,-0.0026377609176731227,-0.001414629323456172
2022-06-10,-0.0022218076241170303,-0.0026377623686528553,-0.0014146293217851555
2022-06-13,-0.002221807680036842,-0.0026377628357390675,-0.0014146293193427293
2022-06-14,-0.002221807698241933,-0.00263776298642092,-0.001414629318883111
2022-06-15,-0.0022218077040797412,-0.0026377630349753776,-0.0014146293186785334
2022-06-16,-0.002221807705966914,-0.002637763050630699,-0.0014146293186222973
2022-06-17,-0.00222180770657435,-0.002637763055676771,-0.0014146293186024972
2022-06-20,-0.00222180770677032,-0.0026377630573035196,-0.0014146293185964024
2022-06-21,-0.002221807706833466,-0.002637763057827901,-0.001414629318594388
