,NLMK.ME,GMKN.ME,CHMF.ME
2022-05-25,0.0010573341085667516,0.000551959591707339,0.0008903847357203608
2022-05-26,0.0009643052229545836,0.0005099887938328744,0.0007689133386925807
2022-05-27,0.0009873104090937052,0.0005154879550583696,0.0008660851345169503
2022-05-30,0.0009856659198925984,0.0005120646320874027,0.000851581589907542
2022-05-31,0.0009912700045107252,0.0005136503984024155,0.0008550611261400831
2022-06-01,0.0009898394413025535,0.000513377680658211,0.0008543897429159752
2022-06-02,0.0009900347762236438,0.0005134721980583303,0.0008549546564642302
2022-06-03,0.0009900431223867439,0.0005134424403607066,0.0008547922395183417
2022-06-06,0.0009900648636031956,0.0005134507710218446,0.0008548210332612401
2022-06-07,0.000990052691336201,0.0005134489227250575,0.0008548182215386061
2022-06-08,0.0009900553438799756,0.0005134495743218078,0.0008548207762987169
2022-06-09,0.0009900553400308168,0.0005134493549625509,0.0008548195065290519
2022-06-10,0.0009900553556985985,0.0005134494150221109,0.0008548198156000819
2022-06-13,0.0009900552873651795,0.0005134494017502496,0.0008548197889440945
2022-06-14,0.0009900553147766482,0.000513449405696889,0.0008548197960660035
2022-06-15,0.0009900553119780344,0.0005134494042478535,0.0008548197888476605
2022-06-16,0.0009900553115484568,0.0005134494047027886,0.000854819791680696
2022-06-17,0.0009900553113755483,0.0005134494045972268,0.0008548197912555209
2022-06-20,0.0009900553115751787,0.0005134494046219458,0.0008548197912678966
2022-06-21,0.0009900553115270393,0.0005134494046133369,0.0008548197912431478
2022-06-22,0.0009900553115264946,0.0005134494046165384,0.0008548197912629161
2022-06-23,0.0009900553115275597,0.0005134494046156672,0.0008548197912576477
2022-06-24,0.0009900553115284477,0.0005134494046158492,0.0008548197912579904
2022-06-27,0.0009900553115279687,0.0005134494046158005,0.000854819791257995
2022-06-28,0.0009900553115280264,0.0005134494046158205,0.0008548197912580875
2022-06-29,0.0009900553115280396,0.0005134494046158136,0.0008548197912580405
2022-06-30,0.0009900553115280394,0.0005134494046158153,0.0008548197912580481
2022-07-01,0.0009900553115280363,0.0005134494046158148,0.0008548197912580484
2022-07-04,0.0009900553115280372,0.000513449404615815,0.0008548197912580485
2022-07-05,0.0009900553115280372,0.0005134494046158149,0.0008548197912580483
2022-07-06,0.0009900553115280372,0.000513449404615815,0.0008548197912580484
2022-07-07,0.0009900553115280372,0.000513449404615815,0.0008548197912580484
2022-07-08,0.0009900553115280372,0.000513449404615815,0.0008548197912580484
2022-07-11,0.0009900553115280372,0.000513449404615815,0.0008548197912580484
2022-07-12,0.0009900553115280372,0.000513449404615815,0.0008548197912580484
2022-07-13,0.0009900553115280372,0.000513449404615815,0.0008548197912580484
2022-07-14,0.0009900553115280372,0.000513449404615815,0.0008548197912580484
