,GAZP.ME,LKOH.ME,ROSN.ME
2022-05-25,0.000668690726963842,0.0007290130174620489,0.00041287961850877306
2022-05-26,0.0006657787517933805,0.0006727018095198779,0.00046286809656400615
2022-05-27,0.000590655225191648,0.0006028553474517138,0.00040956809125285436
2022-05-30,0.0006096101853821148,0.0006289943951264391,0.0004177037266026112
2022-05-31,0.0006145208216939043,0.000631586750912574,0.0004228614722604698
2022-06-01,0.0006107802106536645,0.0006274727169292867,0.0004206050958917313
2022-06-02,0.0006110951063895067,0.0006281899344723624,0.00042053655850122785
2022-06-03,0.0006115251054510968,0.0006285689821706799,0.00042087170050771365
2022-06-06,0.0006113763763256154,0.0006283795671075669,0.0004208004818717702
2022-06-07,0.0006113567204017542,0.0006283770932570642,0.00042077466460940127
2022-06-08,0.000611381725130946,0.0006284032417663497,0.0004207910336482395
2022-06-09,0.0006113780981971537,0.0006283970321819693,0.0004207904626727656
2022-06-10,0.0006113756761758537,0.0006283951097042047,0.00042078844279979657
2022-06-13,0.0006113767757591901,0.0006283964298241592,0.00042078903641523804
2022-06-14,0.0006113768240214136,0.0006283963557869754,0.00042078915966272344
2022-06-15,0.0006113766649073258,0.0006283961980084463,0.0004207890497942468
2022-06-16,0.0006113766986261839,0.0006283962477820326,0.0004207890611740493
2022-06-17,0.000611376711461125,0.0006283962563964474,0.00042078907307626804
2022-06-20,0.0006113767037186276,0.0006283962475687779,0.00042078906856966424
2022-06-21,0.0006113767039530515,0.0006283962486421784,0.00042078906811628076
