,GAZP.ME,LKOH.ME,ROSN.ME
2022-05-25,0.0005954303440990204,0.0006768708826747489,0.00034503005403702997
2022-05-26,0.0005969703109469793,0.0006289255528930928,0.00039151190678372665
2022-05-27,0.0005886190307003985,0.000624323382084282,0.0003885937507811728
2022-05-30,0.0005884531970591757,0.000624922637889531,0.0003882847006601919
2022-05-31,0.0005885024396125271,0.0006249611541303187,0.0003883155697338211
2022-06-01,0.0005885013355625932,0.0006249564112365324,0.00038831777415081317
2022-06-02,0.0005885008191429989,0.0006249562304814339,0.00038831749785982574
2022-06-03,0.000588500826405625,0.0006249562769174867,0.0003883174850553261
2022-06-06,0.0005885008297634713,0.000624956278023759,0.00038831748759667804
2022-06-07,0.0005885008295918109,0.0006249562776525244,0.0003883174876670319
