,SBER.ME,VTBR.ME,TCSG.ME
2022-05-25,125.27899934562068,0.01912550150332776,2232.0742275546863
2022-05-26,125.01304739319119,0.019079368684163264,2229.2031650977256
2022-05-27,124.73479347491586,0.01903003335373044,2225.9983227030975
2022-05-30,124.45852736090899,0.0189802784535482,2222.8607850583367
2022-05-31,124.18235025514815,0.01893038616639502,2219.7168131891294
2022-06-01,123.90678421181443,0.018880554901175142,2216.579219977118
2022-06-02,123.63180045126686,0.01883082952949874,2213.4457456123623
2022-06-03,123.35742248312964,0.018781227460726514,2210.3167606669836
2022-06-06,123.08365116184336,0.018731753505420796,2207.1921903901703
2022-06-07,122.81048684103797,0.018682409071909267,2204.072039126464
2022-06-08,122.53792854983956,0.01863319436402534,2200.9562984306
2022-06-09,122.26597509357599,0.01858410921806065,2197.8449623237016
2022-06-10,121.99462517322885,0.01853515334946965,2194.738024496064
2022-06-13,121.7238774641427,0.018486326436029148,2191.635478731832
2022-06-14,121.45373063441605,0.01843762814391357,2188.5373188179015
2022-06-15,121.18418335200103,0.018389058136190094,2185.4435385537463
2022-06-16,120.91523428677839,0.018340616075528893,2182.3541317478407
2022-06-17,120.6468821112554,0.018292301625076238,2179.2690922176566
2022-06-20,120.37912550077994,0.018244114448733056,2176.188413789456
2022-06-21,120.11196313360595,0.018196054211243002,2173.112090298248
